Link,OffDocTopic,GOVUK Topic
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,Rail transport,Transport
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,Social inclusion,Community and society
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,Social issues,Community and society
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,Transport and infrastructure,Transport
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,Unemployed people,Employment
http://www.official-documents.gov.uk/document/cm66/6610/6610.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/cm66/6613/6613.asp ,"Science, technology and innovation",Science and innovation
http://www.official-documents.gov.uk/document/cm66/6613/6613.asp ,Energy and fuel,Energy
http://www.official-documents.gov.uk/document/cm66/6613/6613.asp ,Environment,Environment
http://www.official-documents.gov.uk/document/cm66/6613/6613.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/cm66/6613/6613.asp ,Meetings,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6613/6613.asp ,Nuclear energy,Energy
http://www.official-documents.gov.uk/document/cm66/6613/6613.asp ,Research and development,Science and innovation
http://www.official-documents.gov.uk/document/cm66/6613/6613.asp ,Systems development,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6614/6614.asp ,Currencies and exchange rates,Trade and investment
http://www.official-documents.gov.uk/document/cm66/6615/6615.asp ,Energy and fuel,Energy
http://www.official-documents.gov.uk/document/cm66/6615/6615.asp ,Nuclear energy,Energy
http://www.official-documents.gov.uk/document/cm66/6615/6615.asp ,Waste management,Environment
http://www.official-documents.gov.uk/document/cm66/6616/6616.asp ,Defence equipment and supplies,Defence and armed forces
http://www.official-documents.gov.uk/document/cm66/6616/6616.asp ,Defence land and buildings,Defence and armed forces
http://www.official-documents.gov.uk/document/cm66/6616/6616.asp ,Defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm66/6619/6619.asp ,Armed forces,Defence and armed forces
http://www.official-documents.gov.uk/document/cm66/6619/6619.asp ,Defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm66/6619/6619.asp ,International affairs and defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm66/6620/6620.asp ,Defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm66/6621/6621.asp ,Boats and ships,Trade and investment
http://www.official-documents.gov.uk/document/cm66/6621/6621.asp ,Community transport,Community and society
http://www.official-documents.gov.uk/document/cm66/6621/6621.asp ,European Union,Europe
http://www.official-documents.gov.uk/document/cm66/6621/6621.asp ,European affairs,Europe
http://www.official-documents.gov.uk/document/cm66/6621/6621.asp ,Freight transport,Transport
http://www.official-documents.gov.uk/document/cm66/6621/6621.asp ,Water transport,Transport
http://www.official-documents.gov.uk/document/cm66/6622/6622.asp ,Democracy and elections,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm66/6622/6622.asp ,European Union,Europe
http://www.official-documents.gov.uk/document/cm66/6622/6622.asp ,European affairs,Europe
http://www.official-documents.gov.uk/document/cm66/6622/6622.asp ,International affairs and defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm66/6622/6622.asp ,Voting,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm66/6623/6623.asp ,Children,Children and young people
http://www.official-documents.gov.uk/document/cm66/6623/6623.asp ,Communication,Media and communications
http://www.official-documents.gov.uk/document/cm66/6623/6623.asp ,Consultation,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6623/6623.asp ,Courts of law,Law and the justice system
http://www.official-documents.gov.uk/document/cm66/6623/6623.asp ,Disclosure,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6623/6623.asp ,Families,Children and young people
http://www.official-documents.gov.uk/document/cm66/6623/6623.asp ,Information and communication,Media and communications
http://www.official-documents.gov.uk/document/cm66/6623/6623.asp ,Information management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6623/6623.asp ,Public consultation,Government spending
http://www.official-documents.gov.uk/document/cm66/6623/6623.asp ,Public relations,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6624/6624.asp ,"Health, well-being and care",National Health Service
http://www.official-documents.gov.uk/document/cm66/6624/6624.asp ,Health and safety training,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm66/6624/6624.asp ,Health care services and specialisms,National Health Service
http://www.official-documents.gov.uk/document/cm66/6624/6624.asp ,Health care,National Health Service
http://www.official-documents.gov.uk/document/cm66/6624/6624.asp ,Health policies and strategies,National Health Service
http://www.official-documents.gov.uk/document/cm66/6624/6624.asp ,Health promotion,National Health Service
http://www.official-documents.gov.uk/document/cm66/6624/6624.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/cm66/6624/6624.asp ,Mental health,Public health
http://www.official-documents.gov.uk/document/cm66/6624/6624.asp ,Primary health care,National Health Service
http://www.official-documents.gov.uk/document/cm66/6625/6625.asp ,Trustees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6627/6627.asp ,Legal services,Law and the justice system
http://www.official-documents.gov.uk/document/cm66/6628/6628.asp ,Legal services,Law and the justice system
http://www.official-documents.gov.uk/document/cm66/6633/6633.asp ,Employment regulations,Employment
http://www.official-documents.gov.uk/document/cm66/6633/6633.asp ,Regulation and deregulation,Regulation reform
http://www.official-documents.gov.uk/document/cm66/6633/6633.asp ,Self employment,Employment
http://www.official-documents.gov.uk/document/cm66/6634/6634.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6634/6634.asp ,Constituencies,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm66/6634/6634.asp ,Democracy and elections,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm66/6634/6634.asp ,Electoral registration,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm66/6634/6634.asp ,Political parties,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6634/6634.asp ,Politics,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6634/6634.asp ,Referendums,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm66/6635/6635.asp ,Health and safety inspections,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm66/6635/6635.asp ,Health and safety risk assessment,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm66/6638/6638.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6638/6638.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/cm66/6641/6641.asp ,UK Parliament,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6643/6643.asp ,Culture and creativity,Arts and culture
http://www.official-documents.gov.uk/document/cm66/6643/6643.asp ,Leisure and culture,Sports and leisure
http://www.official-documents.gov.uk/document/cm66/6643/6643.asp ,What's on,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6644/6644.asp ,Leisure and culture,Sports and leisure
http://www.official-documents.gov.uk/document/cm66/6645/6645.asp ,Accidents at work,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm66/6645/6645.asp ,Health and safety at work,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm66/6647/6647.asp ,Central government,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6647/6647.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6647/6647.asp ,Electoral registration,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm66/6647/6647.asp ,Local government structure,Local government
http://www.official-documents.gov.uk/document/cm66/6647/6647.asp ,Prime Minister,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6648/6648.asp ,Culture and creativity,Arts and culture
http://www.official-documents.gov.uk/document/cm66/6648/6648.asp ,Leisure and culture,Sports and leisure
http://www.official-documents.gov.uk/document/cm66/6648/6648.asp ,Libraries,Local government
http://www.official-documents.gov.uk/document/cm66/6649/6649.asp ,Health and safety at work,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm66/6649/6649.asp ,Health and safety monitoring,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm66/6649/6649.asp ,Health and safety policies,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm66/6649/6649.asp ,Health care services and specialisms,National Health Service
http://www.official-documents.gov.uk/document/cm66/6649/6649.asp ,Health care,National Health Service
http://www.official-documents.gov.uk/document/cm66/6649/6649.asp ,Health policies and strategies,National Health Service
http://www.official-documents.gov.uk/document/cm66/6649/6649.asp ,Health promotion,National Health Service
http://www.official-documents.gov.uk/document/cm66/6649/6649.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/cm66/6650/6650.asp ,Care assessment,Social care
http://www.official-documents.gov.uk/document/cm66/6650/6650.asp ,Care,Social care
http://www.official-documents.gov.uk/document/cm66/6650/6650.asp ,Day care,Children and young people
http://www.official-documents.gov.uk/document/cm66/6650/6650.asp ,Health and safety policies,Public safety and emergencies
